index,url,Adgangskvotienter,Uddannelse,ledighed_nyudd,maanedloen_nyudd,ledighed_10aar,maanedloen_10aar
151,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/sundhedsvidenskabeligebacheloruddannelser/sundhed-og-informatik,0.0,Sundhed og informatik - Københavns Universitet,9.0,37650.0,,
152,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/sundhedsvidenskabeligebacheloruddannelser/veterinaermedicin,0.0,Veterinærmedicin - Københavns Universitet,6.0,36450.0,,
153,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/oevrigesamfundsvidenskab/antropologi,9.7,Antropologi - Københavns Universitet,21.0,32700.0,4.0,43300.0
154,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/oevrigesamfundsvidenskab/antropologi,0.0,Antropologi - Aarhus Universitet,27.0,29500.0,6.0,43500.0
155,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/international-business-and-politics,11.1,International Business and Politics - Copenhagen Business School - Handelshøjskolen,8.0,38500.0,2.0,60300.0
156,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/business-language-and-culture,7.3,"Business, Language and Culture - Copenhagen Business School - Handelshøjskolen",10.0,35400.0,3.0,44800.0
157,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-filosofi,7.4,Erhvervsøkonomi og filosofi - Copenhagen Business School - Handelshøjskolen,18.0,34200.0,6.0,52050.0
158,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-erhvervsjura,7.4,Erhvervsøkonomi og erhvervsjura - Copenhagen Business School - Handelshøjskolen,5.0,39700.0,2.0,57050.0
159,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-erhvervsjura,7.4,Erhvervsøkonomi og erhvervsjura - Syddansk Universitet,8.0,35700.0,1.0,52850.0
160,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-erhvervsjura,7.3,Erhvervsøkonomi og erhvervsjura - Aarhus Universitet,3.0,36100.0,2.0,54500.0
161,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-erhvervsjura,0.0,Erhvervsøkonomi og erhvervsjura - Aalborg Universitet,6.0,34550.0,1.0,48750.0
162,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-virksomhedskommunikation,9.0,Erhvervsøkonomi og virksomhedskommunikation - Copenhagen Business School - Handelshøjskolen,9.0,34400.0,3.0,50600.0
163,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-matematik,8.2,Erhvervsøkonomi og matematik - Copenhagen Business School - Handelshøjskolen,2.0,45400.0,0.0,67800.0
164,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-og-psykologi,9.6,Erhvervsøkonomi og psykologi - Copenhagen Business School - Handelshøjskolen,10.0,38100.0,1.0,58650.0
165,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/jura,8.3,Jura - Københavns Universitet,3.0,39600.0,1.0,54700.0
166,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/jura,8.7,Jura - Syddansk Universitet,4.0,36050.0,1.0,50900.0
167,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/jura,8.2,Jura - Aarhus Universitet,3.0,37000.0,0.0,53200.0
168,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/jura,0.0,Jura - Aalborg Universitet,3.0,36200.0,,
169,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/erhvervsoekonomi-erhvervssprog-negot,0.0,"Erhvervsøkonomi - erhvervssprog, negot. - Syddansk Universitet",21.0,31650.0,5.0,45150.0
170,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/oekonomi,0.0,Økonomi - Københavns Universitet,2.0,42300.0,1.0,61200.0
171,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/oekonomi,0.0,Økonomi - Syddansk Universitet,8.0,36300.0,0.0,57400.0
172,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/oekonomi,0.0,Økonomi - Aarhus Universitet,3.0,40100.0,1.0,61200.0
173,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/erhvervsoekonomi/oekonomi,0.0,Økonomi - Aalborg Universitet,8.0,36300.0,4.0,49500.0
174,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/politik-og-administration,11.0,Politik og administration - Aalborg Universitet,22.0,34400.0,,
175,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/oevrigesamfundsvidenskab/psykologi,10.5,Psykologi - Københavns Universitet,9.0,33400.0,1.0,46500.0
176,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/oevrigesamfundsvidenskab/psykologi,10.1,Psykologi - Syddansk Universitet,10.0,32100.0,,
177,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/oevrigesamfundsvidenskab/psykologi,10.5,Psykologi - Aarhus Universitet,11.0,32100.0,1.0,45600.0
178,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/oevrigesamfundsvidenskab/psykologi,0.0,Psykologi - Aalborg Universitet,16.0,33200.0,1.0,45250.0
179,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/samfundsfag,0.0,Samfundsfag - Københavns Universitet,16.0,36050.0,2.0,55550.0
180,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/samfundsfag,8.2,Samfundsfag - Syddansk Universitet,29.0,35600.0,1.0,52700.0
181,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/samfundsfag,9.6,Samfundsfag - Aarhus Universitet,16.0,33050.0,1.0,52300.0
182,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/samfundsfag,0.0,Samfundsfag - Aalborg Universitet,20.0,27800.0,3.0,48300.0
183,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/sociologi,9.9,Sociologi - Københavns Universitet,10.0,34050.0,3.0,47350.0
184,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/sociologi,0.0,Sociologi - Aalborg Universitet,30.0,32900.0,4.0,44500.0
185,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/statskundskab,0.0,Statskundskab - Københavns Universitet,5.0,36900.0,2.0,55550.0
186,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/statskundskab,9.2,Statskundskab - Syddansk Universitet,13.0,35200.0,1.0,52700.0
187,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/forvaltningmv/statskundskab,10.2,Statskundskab - Aarhus Universitet,8.0,36000.0,1.0,52350.0
188,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/samfundsvidenskabeligebacheloruddannelser/oevrigesamfundsvidenskab/uddannelsesvidenskab,7.6,Uddannelsesvidenskab - Aarhus Universitet,17.0,34900.0,,
192,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/sundhedsvidenskabeligebacheloruddannelser/farmaci,7.9,Farmaci - Københavns Universitet,10.0,41900.0,2.0,56200.0
193,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/sundhedsvidenskabeligebacheloruddannelser/farmaci,0.0,Farmaci - Syddansk Universitet,9.0,43100.0,0.0,
194,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/sundhedsvidenskabeligebacheloruddannelser/folkesundhedsvidenskab,9.1,Folkesundhedsvidenskab - Københavns Universitet,8.0,33700.0,0.0,47200.0
195,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/sundhedsvidenskabeligebacheloruddannelser/folkesundhedsvidenskab,0.0,Folkesundhedsvidenskab - Syddansk Universitet,10.0,32800.0,5.0,44600.0
196,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/sundhedsvidenskabeligebacheloruddannelser/folkesundhedsvidenskab,8.7,Folkesundhedsvidenskab - Aarhus Universitet,13.0,34900.0,,
197,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/sundhedsvidenskabeligebacheloruddannelser/kiropraktor,10.0,Kiropraktor - Syddansk Universitet,2.0,40300.0,0.0,45500.0
198,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/sundhedsvidenskabeligebacheloruddannelser/medicin,10.5,Medicin - Københavns Universitet,3.0,43600.0,0.0,57900.0
199,www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/sundhedsvidenskabeligebacheloruddannelser/medicin,10.3,Medicin - Syddansk Universitet,1.0,44400.0,0.0,60200.0
